[mutsumi] Timestamp: 2025-10-29 16:59:57.962546, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:58.549937, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:58.609875, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:58.870619, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:00.421834, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:00:00.429825, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:00:00.630647, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:00.646631, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:00.782010, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:00.997787, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:00:02.534366, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:00:03.189687, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:03.354531, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:04.402464, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:00:04.814037, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:05.314534, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:05.826004, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:06.065756, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:06.213602, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:06.630190, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:00:07.350459, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:07.522281, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:08.521827, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:00:08.554300, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:00:09.929630, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:00:10.065995, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:00:10.526027, Code: BTN_THUMBL, State: 1
