[jin] Timestamp: 2025-10-29 15:15:50.133710, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:50.239197, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:50.293494, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:15:50.463131, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:50.466129, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:50.923533, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:15:51.639320, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:51.764444, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:52.197616, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:52.214172, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:52.508988, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:52.689200, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:53.078527, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:53.588506, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:53.673699, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:53.757857, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:53.867978, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:53.968056, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:54.073932, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:54.179994, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:54.284946, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:54.878650, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:55.014163, Code: BTN_NORTH, State: 1
