Timestamp: 2025-10-28 17:54:01.818900, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:01.897357, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:01.913372, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:01.992331, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:02.569809, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:02.677205, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:02.789438, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:02.999522, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:03.174256, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:03.251930, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:03.312500, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:03.329715, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:03.789688, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:04.354021, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:04.389030, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:54:04.452879, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:04.556531, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:04.839391, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:54:05.335099, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:05.612372, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:05.761742, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:05.906928, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:54:06.325369, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:06.899287, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:07.040042, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:07.552952, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:07.693184, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:07.708579, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:08.082922, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:08.139262, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:08.192091, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:08.794960, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:08.846534, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:08.925079, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:09.097050, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:09.565830, Type: Absolute, Code: ABS_HAT0Y, State: 1
