[keita] Timestamp: 2025-10-29 15:25:37.512566, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:37.681135, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:25:37.693130, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:25:37.721121, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:25:37.956610, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:37.960587, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:25:38.184688, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:25:38.321272, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:38.380806, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:38.380806, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:25:38.545171, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:38.548673, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:38.701108, Code: BTN_WEST, State: 1
