[keita] Timestamp: 2025-10-29 15:37:19.046891, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:20.095234, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:20.407259, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:37:20.475285, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:20.487273, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:37:20.627507, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:20.978738, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:21.158805, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:21.342807, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:21.511079, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:21.627013, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:21.627013, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:21.791471, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:21.903290, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:22.071246, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:22.223135, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:22.391188, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:22.530894, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:22.659481, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:22.755227, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:23.931100, Code: BTN_WEST, State: 1
